Crime,Latitude,Longitude,Year,Neighborhood
TRESPASS,-122.4155544,47.65279656,2015,Briarcliff
VEHICLE THEFT,-122.275084,47.54603264,2015,Columbia City
OTHER PROPERTY,-122.3219184,47.70858578,2015,Maple Leaf
STOLEN PROPERTY,-122.3693494,47.52103664,2015,Roxhill
DISTURBANCE,-122.3215206,47.61873646,2015,Broadway
OTHER PROPERTY,-122.3422596,47.72087274,2015,Haller Lake
THREATS,-122.367312,47.52102758,2015,Roxhill
CAR PROWL,-122.3261805,47.66134688,2015,Wallingford
BURGLARY,-122.3582501,47.73141387,2015,Broadview
OTHER PROPERTY,-122.3246152,47.7086028,2015,Pinehurst
LOST PROPERTY,-122.2728077,47.54247583,2015,Brighton
BIKE THEFT,-122.2999376,47.59743197,2014,Atlantic
CAR PROWL,-122.3422852,47.63498835,2015,Westlake
STOLEN PROPERTY,-122.3169791,47.64021752,2015,Montlake
OTHER PROPERTY,-122.3405245,47.63359363,2015,Westlake
CAR PROWL,-122.3181249,47.61292978,2015,Broadway
PROPERTY DAMAGE,-122.3969132,47.64954209,2015,Lawton Park
STOLEN PROPERTY,-122.2638879,47.52764247,2015,Dunlap
BURGLARY,-122.3085711,47.66947698,2015,University District
BURGLARY,-122.3317002,47.62024125,2015,South Lake Union
OTHER PROPERTY,-122.3735749,47.65582184,2015,North Queen Anne
ASSAULT,-122.3428796,47.60981274,2015,Pike-Market
PROPERTY DAMAGE,-122.3279159,47.60817661,2015,First Hill
OTHER PROPERTY,-122.3385503,47.60806017,2015,Central Business District
STOLEN PROPERTY,-122.324623,47.64507048,2015,Eastlake
STOLEN PROPERTY,-122.3506564,47.51733322,2015,
ASSAULT,-122.3521398,47.62457135,2015,Lower Queen Anne
NARCOTICS,-122.3553302,47.69331765,2015,Greenwood
DISTURBANCE,-122.3381467,47.61097516,2015,Central Business District
BURGLARY,-122.3637209,47.66146198,2015,West Woodland
BURGLARY,-122.2839673,47.5688419,2015,Mount Baker
PROPERTY DAMAGE,-122.3152505,47.6321999,2015,Broadway
PROPERTY DAMAGE,-122.3059849,47.62482014,2015,Stevens
VEHICLE THEFT,-122.2881679,47.61462577,2015,Madrona
SHOPLIFTING,-122.3030988,47.61879546,2015,Stevens
DISTURBANCE,-122.337614,47.69687379,2015,North College Park
PROPERTY DAMAGE,-122.2863013,47.7173522,2015,Cedar Park
OBSTRUCT,-122.3373204,47.61132124,2015,Central Business District
STOLEN PROPERTY,-122.3496078,47.61403097,2015,Belltown
OTHER PROPERTY,-122.3308075,47.60046424,2015,Pioneer Square
PROPERTY DAMAGE,-122.3019828,47.55180283,2015,Mid-Beacon Hill
FRAUD,-122.2989914,47.71655018,2015,Victory Heights
OTHER PROPERTY,-122.3940385,47.5182739,2015,Fauntleroy
ASSAULT,-122.3476068,47.62022747,2015,South Lake Union
BIKE THEFT,-122.3442328,47.62972731,2015,East Queen Anne
VEHICLE THEFT,-122.3470912,47.63867926,2015,East Queen Anne
CAR PROWL,-122.3197826,47.65945906,2015,University District
PROPERTY DAMAGE,-122.3295065,47.60137163,2015,Pioneer Square
