"(47.61822608, -122.32299348)"
"(47.59608631, -122.31141991)"
"(47.66185159, -122.29315529)"
"(47.61094594, -122.33992623)"
"(47.56950403, -122.28316697)"
"(47.64783172, -122.38362613)"
"(47.66836292, -122.39247649)"
"(47.55881726, -122.36322623)"
"(47.51901064, -122.37726093)"
"(47.59639043, -122.29897633)"
"(47.69324412, -122.31065792)"
"(47.57497612, -122.29348271)"
"(47.54806005, -122.33134132)"
"(47.69263771, -122.27016162)"
"(47.65158599, -122.32326055)"
"(47.68270365, -122.32344446)"
"(47.71807639, -122.29368055)"
"(47.59341247, -122.3003914)"
"(47.67978552, -122.30958128)"
"(47.58499639, -122.31440311)"
"(47.56708134, -122.29667781)"
"(47.57059802, -122.29048837)"
"(47.62424919, -122.31220528)"
"(47.60423386, -122.31548619)"
"(47.68273861, -122.32821645)"
"(47.67098426, -122.30131421)"
"(47.66067613, -122.33416338)"
"(47.62614456, -122.32404498)"
"(47.68266564, -122.32876744)"
"(47.57492118, -122.38717001)"
"(47.66580069, -122.40760903)"
"(47.64080412, -122.33006926)"
"(47.55906312, -122.38187153)"
"(47.61282934, -122.34224199)"
"(47.65935341, -122.35075381)"
"(47.62159067, -122.30316535)"
"(47.57993346, -122.29546949)"
"(47.5826903, -122.38568122)"
"(47.57687228, -122.41040783)"
"(47.65119682, -122.38495045)"
"(47.65820563, -122.34971485)"
"(47.55045501, -122.3602154)"
"(47.53321218, -122.27909726)"
"(47.66185159, -122.29315529)"
"(47.65001537, -122.33663831)"
"(47.56124328, -122.2778681)"
"(47.54872021, -122.26776692)"
"(47.5866664, -122.30715879)"
"(47.68084693, -122.34574122)"
"(47.66101473, -122.34402504)"
"(47.58724662, -122.31518538)"
"(47.62244513, -122.34276579)"
"(47.67581888, -122.37909232)"
"(47.64799366, -122.37826258)"
"(47.68900024, -122.34364177)"
"(47.56053345, -122.29109243)"
"(47.66368613, -122.27325494)"
"(47.54676012, -122.37610852)"
"(47.58099241, -122.39306099)"
"(47.60396324, -122.30930183)"
"(47.67849569, -122.37634863)"
"(47.61827068, -122.35039295)"
"(47.65624584, -122.36269802)"
"(47.63605744, -122.38800255)"
"(47.62140793, -122.31646879)"
"(47.57353629, -122.37787408)"
"(47.59282901, -122.38349897)"
"(47.51813755, -122.33934051)"
"(47.68405635, -122.37653282)"
"(47.6190614, -122.29273093)"
"(47.51042607, -122.2627802)"
"(47.56637673, -122.29068627)"
"(47.64715321, -122.36166032)"
"(47.64740741, -122.36193651)"
"(47.62951836, -122.37476567)"
"(47.570035, -122.38653215)"
"(47.56974742, -122.38624755)"
"(47.61284662, -122.34296823)"
"(47.54099648, -122.27096102)"
"(47.59862936, -122.29843952)"
"(47.66027266, -122.3470594)"
"(47.66045328, -122.30463329)"
"(47.6650985, -122.31452823)"
"(47.59281071, -122.30097724)"
"(47.58725053, -122.35194098)"
"(47.69050844, -122.31320993)"
"(47.63612953, -122.38785795)"
"(47.61649938, -122.30587926)"
"(47.67289585, -122.37952041)"
"(47.56950918, -122.38654381)"
"(47.6599128, -122.40053034)"
"(47.56753548, -122.35555099)"
"(47.65354763, -122.34417876)"
"(47.64112328, -122.31417693)"
"(47.67278214, -122.25327645)"
"(47.68448803, -122.32525232)"
"(47.671204, -122.37323639)"
"(47.66794897, -122.31219738)"
"(47.59267402, -122.30101899)"
"(47.64147346, -122.36790633)"
"(47.64516549, -122.32670886)"
"(47.61844045, -122.30414413)"
"(47.54151528, -122.37183756)"
"(47.69363806, -122.39552134)"
"(47.60933226, -122.30912945)"
"(47.6045454, -122.30530095)"
"(47.65940811, -122.35076004)"
"(47.61395165, -122.32414429)"
"(47.64025602, -122.37531302)"
"(47.64025853, -122.37523414)"
"(47.67566271, -122.31348006)"
"(47.61756511, -122.33229667)"
"(47.68673302, -122.3296957)"
"(47.63519519, -122.37308453)"
"(47.59873839, -122.29890894)"
"(47.5485505, -122.33652814)"
"(47.56615438, -122.36372158)"
"(47.56623365, -122.36370956)"
"(47.63425196, -122.27882282)"
"(47.7033903, -122.35925243)"
"(47.67924952, -122.30021142)"
"(47.72270038, -122.29521288)"
"(47.72239375, -122.29518044)"
"(47.68142386, -122.32234418)"
"(47.58006862, -122.31627671)"
"(47.69108761, -122.30379269)"
"(47.64116388, -122.38626277)"
"(47.55861804, -122.27228095)"
"(47.52121444, -122.36318246)"
"(47.62593886, -122.32055256)"
"(47.59489208, -122.29575998)"
"(47.59874453, -122.29899047)"
"(47.65485385, -122.38576665)"
"(47.66021227, -122.34493133)"
"(47.65470649, -122.38576746)"
"(47.63466365, -122.3528374)"
"(47.5441117, -122.39230449)"
"(47.57620263, -122.30994293)"
"(47.69077477, -122.39731387)"
"(47.58854328, -122.30768115)"
"(47.6102238, -122.31584809)"
"(47.65478414, -122.38556881)"
"(47.68273861, -122.32821645)"
"(47.63100625, -122.38282969)"
"(47.61619705, -122.31785593)"
"(47.69674524, -122.34613461)"
"(47.56029176, -122.28581275)"
"(47.60642739, -122.32304448)"
"(47.60601002, -122.32317409)"
