"(47.66867, -122.382344)"
"(47.667813, -122.384795)"
"(47.668369, -122.398666)"
"(47.672783, -122.391548)"
"(47.577553, -122.41095)"
"(47.586597, -122.376671)"
"(47.583717, -122.386024)"
"(47.6121708, -122.319849)"
"(47.5616585, -122.3237001)"
"(47.722147, -122.2941323)"
"(47.6839218, -122.3064199)"
"(47.5997045, -122.3331303)"
"(47.5994698, -122.3127638)"
"(47.5994214, -122.313387509187)"
"(47.6142655, -122.3197336)"
"(47.6080964, -122.3388114)"
"(47.5995076, -122.3326934)"
"(47.5601782, -122.387154)"
"(47.6626739, -122.2991137)"
"(47.6683879, -122.3339953)"
"(47.6808468, -122.3238474)"
"(47.69038, -122.3577075)"
"(47.6004712, -122.333963)"
"(47.6023356, -122.3358275)"
"(47.5825204, -122.334653)"
"(47.5655555, -122.3336229)"
"(47.6599873030303, -122.319658979798)"
"(47.5514664, -122.3283134)"
"(47.614429, -122.317253)"
"(47.58879805, -122.30707705)"
"(47.6253458, -122.3561735)"
"(47.579594, -122.3255672)"
"(47.6010201, -122.3298371)"
"(47.6777479, -122.328027403825)"
"(47.6143, -122.3139168)"
"(47.65663, -122.309154)"
"(47.551598, -122.375336)"
"(47.613922, -122.316429)"
"(47.614746, -122.319069)"
"(47.6153941, -122.3260485)"
"(47.513939, -122.386360)"
"(47.614273, -122.317245)"
"(47.614338, -122.320107)"
"(47.671066, -122.373662)"
"(47.613223, -122.319412)"
"(47.551817, -122.319454)"
"(47.703865, -122.356766)"
"(47.5510384, -122.35186429201)"
"(47.6133929, -122.3259406)"
"(47.692390, -122.317630)"
"(47.605053, -122.340225)"
"(47.6194127, -122.3583566)"
"(47.656467, -122.364128)"
"(47.689507, -122.354950)"
"(47.616283, -122.297218)"
"(47.615807, -122.328384)"
"(47.650660, -122.349890)"
"(47.611415, -122.331472)"
"(47.638030, -122.325924)"
"(47.690380, -122.357391)"
"(47.6139358, -122.3174302)"
"(47.551707, -122.277981)"
"(47.553764, -122.387314)"
"(47.608707, -122.341049)"
"(47.548363, -122.321178)"
"(47.674446, -122.317734)"
"(47.667054, -122.313051)"
"(47.618977, -122.320876)"
"(47.6149531, -122.3217473)"
"(47.671105, -122.376240)"
"(47.681091, -122.324814)"
"(47.693851, -122.317268)"
"(47.661270, -122.314006)"
"(47.622415, -122.312630)"
"(47.613453, -122.345268)"
"(47.599537, -122.331978)"
"(47.686670, -122.299241)"
"(47.536369, -122.293419)"


"(47.636174, -122.356958)"
"(47.660980, -122.349632)"
"(47.528648, -122.270409)"
"(47.610031, -122.338524)"
"(47.661911, -122.284111)"
"(47.610974, -122.342750)"
"(47.660930, -122.314283)"
"(47.597092, -122.317932)"
"(47.597923, -122.318398)"
"(47.622963, -122.341438)"
"(47.698005, -122.317615)"
"(47.5989184, -122.3331591)"
"(47.620330, -122.320908)"
"(47.684772, -122.315903)"
"(47.663578, -122.317726)"
"(47.608707, -122.341049)"
"(47.754509, -122.345650)"
"(47.615477, -122.342210)"
"(47.600890, -122.333879)"
"(47.582653, -122.328331)"
"(47.665687, -122.382206)"
"(47.614070, -122.323097)"
"(47.606213, -122.333794)"
"(47.558495, -122.284096)"
"(47.5243382, -122.2695039)"
"(47.739364, -122.345273)"
"(47.614417, -122.314238)"
"(47.550125, -122.287086)"
"(47.5965162, -122.3341906)"
"(47.660400, -122.280525)"
"(47.669819, -122.385689)"
"(47.597744, -122.312012)"
"(47.625474, -122.307320)"
"(47.66739015, -122.317098438068)"
"(47.599903, -122.332888)"
"(47.660400, -122.280525)"
"(47.708600, -122.324790)"
"(47.623726, -122.342773)"
"(47.660400, -122.280525)"
"(47.613110, -122.288887)"
"(47.6593651, -122.3180274)"
"(47.661632, -122.343770)"
"(47.601719, -122.330269)"
"(47.723804, -122.347351)"
"(47.610330, -122.343685)"
"(47.638016, -122.294137)"
"(47.548225, -122.316483)"
"(47.707703, -122.323263)"
"(47.600886, -122.334547)"
"(47.661797, -122.340996)"
"(47.599373, -122.331978)"
"(47.633820, -122.276352)"
"(47.649744, -122.349798)"
"(47.664948, -122.317176)"
"(47.614338, -122.320107)"
"(47.689869, -122.322983)"
"(47.679985, -122.355011)"
"(47.669090, -122.385796)"
"(47.604534, -122.320335)"
"(47.671730, -122.317154)"
"(47.721649, -122.345955)"
"(47.640102, -122.341103)"
"(47.6236732, -122.3590953)"
"(47.617073, -122.316490)"
"(47.623835, -122.338460)"
"(47.623119, -122.295752)"
"(47.597873, -122.293854)"
"(47.651569, -122.341705)"
"(47.544634, -122.328371)"
"(47.600586, -122.334579)"
"(47.661797, -122.340996)"
"(47.568764, -122.386375)"
"(47.569904, -122.362556)"
"(47.652184, -122.356773)"
"(47.621666, -122.312294)"
"(47.5494855, -122.2518888)"
"(47.610874, -122.325470)"
"(47.669819, -122.386803)"
"(47.686820, -122.388387)"
"(47.657080, -122.342359)"
"(47.5728531, -122.3231882)"
"(47.518949, -122.361803)"
"(47.6760806, -122.3629711)"
"(47.641296, -122.397820)"
"(47.611458, -122.344795)"
"(47.5803398, -122.311297826237)"
"(47.6017992, -122.3366083)"
"(47.614070, -122.321734)"
"(47.650660, -122.349890)"
"(47.698273, -122.328456)"
"(47.61426, -122.317856)"
"(47.664829, -122.369316)"

"(47.608707, -122.341049)"
"(47.621666, -122.321304)"
"(47.674288, -122.317353)"
"(47.669090, -122.385796)"
"(47.661160, -122.326927)"
"(47.612072, -122.344917)"
"(47.666290, -122.314484)"
"(47.600216, -122.334579)"
"(47.553658, -122.335594)"
"(47.595090, -122.309616)"
"(47.609505, -122.336502)"
"(47.598796, -122.313501)"
"(47.659514, -122.350030)"
"(47.609297, -122.341213)"
"(47.6151142, -122.3145155)"
"(47.664074, -122.314514)"
"(47.690365, -122.352966)"
"(47.676288, -122.385388)"
"(47.619567, -122.359014)"
"(47.63115945, -122.342684249265)"
"(47.650017, -122.349812)"
"(47.6802289, -122.3248831)"
"(47.639149, -122.326256)"
"(47.615215, -122.350227)"
"(47.7018421, -122.342497931292)"
"(47.6672369, -122.277049808201)"
"(47.600380, -122.335144)"
"(47.605728, -122.339195)"
"(47.613483, -122.344756)"
"(47.562884, -122.385849)"
"(47.612602, -122.289642)"
"(47.599653, -122.330260)"
"(47.673092, -122.267960)"
"(47.658408, -122.290305)"
"(47.6183638, -122.3572268)"

"(47.619053, -122.336395)"
"(47.6513614, -122.3534984)"
"(47.599701, -122.330650)"
"(47.6489942, -122.361702734008)"
"(47.609490, -122.308904)"
"(47.649347, -122.348076)"
"(47.654194, -122.300385)"
"(47.654293, -122.324905)"
"(47.614125, -122.317716)"
"(47.613079, -122.315788)"
"(47.665829, -122.313675)"
"(47.622829, -122.286980)"
"(47.614395, -122.321198)"
"(47.621319, -122.320541)"
"(47.6803384, -122.357711445954)"
"(47.6088801, -122.3403995)"
"(47.548977, -122.316630)"

"(47.614560, -122.315534)"
"(47.614323, -122.327164)"
"(47.594673, -122.309662)"
"(47.6115947, -122.3252001)"
"(47.5524608, -122.3317069)"
"(47.645466, -122.383057)"

"(47.668777, -122.295395)"
"(47.599220, -122.333919)"
"(47.644508, -122.399582)"
"(47.705193, -122.322426)"
"(47.601715, -122.320429)"
"(47.6228012, -122.3302142)"
"(47.552562, -122.320193)"
"(47.680391, -122.325888)"
"(47.705251, -122.290856)"
"(47.635509, -122.359505)"
"(47.529579, -122.320518)"
"(47.6378686, -122.3571792)"
"(47.612782, -122.348907)"
"(47.600044, -122.327248)"
"(47.654404, -122.370996)"
"(47.585333, -122.333270)"
"(47.618587, -122.317818)"
"(47.600030, -122.326102)"
"(47.561653, -122.284926)"
"(47.619994, -122.345018)"
"(47.618248, -122.357430)"
"(47.649367, -122.332294)"
"(47.612338, -122.319368)"
"(47.569634, -122.307473)"
"(47.627329, -122.369350)"
"(47.665920, -122.317085)"
"(47.574190, -122.321154)"
"(47.599202, -122.326082)"
"(47.6117662, -122.3338683)"
"(47.551844, -122.319481)"
"(47.577271, -122.407364)"
"(47.560593, -122.338676)"
"(47.621704, -122.338860)"
"(47.668377, -122.390541)"
"(47.577168, -122.297668)"
"(47.724470, -122.348000)"
"(47.643753, -122.309258)"
"(47.540237, -122.373360)"
"(47.602364, -122.334595)"
"(47.577168, -122.297668)"
"(47.552368, -122.320488)"
"(47.6534516, -122.3585927)"
"(47.595513, -122.327132)"
"(47.608010, -122.302349)"
"(47.596419, -122.322446)"
"(47.621688, -122.307328)"
"(47.539444, -122.294067)"
"(47.548885, -122.317596)"
"(47.659863, -122.278038)"
"(47.680642, -122.262270)"
"(47.579173, -122.386637)"
"(47.599777, -122.328575)"

"(47.6089681, -122.322102253206)"
"(47.604249, -122.323564)"


"(47.524445, -122.270500)"
"(47.601212, -122.335220)"
"(47.656467, -122.364128)"
"(47.611415, -122.334770)"
"(47.623360, -122.320374)"
"(47.661133, -122.364212)"
"(47.614429, -122.317253)"
"(47.668670, -122.385491)"
"(47.528760, -122.322873)"
"(47.618217, -122.351830)"
"(47.614273, -122.317245)"


"(47.572744, -122.322579)"
"(47.560926, -122.384098)"
"(47.547234, -122.351929)"
"(47.565380, -122.386383)"
"(47.624282, -122.325052)"
"(47.654649, -122.304544)"
"(47.656969, -122.304421)"
"(47.6722229, -122.3118912)"
"(47.654080, -122.312135)"
"(47.6563251, -122.3076233)"
"(47.6562474, -122.3092754)"
"(47.668530, -122.311890)"
"(47.6581986, -122.3042543)"
"(47.657048, -122.305271)"
"(47.656967, -122.312055)"
"(47.65818, -122.306292)"
"(47.659126, -122.308582)"
"(47.656479, -122.311352)"
"(47.6229209, -122.3293344)"
"(47.6585722, -122.3065403)"
"(47.669975, -122.313045)"
"(47.657048, -122.305271)"


"(47.665938, -122.318411)"
"(47.661064, -122.275932)"
"(47.595059, -122.326235)"
"(47.562161, -122.386790)"
"(47.66112015, -122.333012781095)"
"(47.593601, -122.3334874)"
"(47.6760768, -122.3170608)"
"(47.5524847, -122.3339033)"
"(47.5868280816327, -122.304490795918)"
"(47.61287415, -122.33527622923)"
"(47.6607139, -122.3135097)"
"(47.6677253, -122.3170573)"
"(47.6558318, -122.3360715)"
"(47.690380, -122.357727)"
"(47.6230082, -122.290754782837)"
"(47.64052875, -122.375825442886)"
"(47.6647555, -122.3177085)"
"(47.6132461, -122.3409939)"
"(47.5977324, -122.326797)"
"(47.602619, -122.3323144)"
"(47.5420331, -122.272057018355)"

"(47.5963028, -122.3338311)"
"(47.5982213, -122.322122)"
"(47.6547393, -122.3709909)"


"(47.6127129, -122.3163494)"
"(47.6167076, -122.3310756)"
"(47.6102805, -122.3424974)"
"(47.6207093, -122.3420916)"
"(47.6250082, -122.3215822)"
"(47.6513564, -122.3515985)"
"(47.6011373, -122.3295897)"
"(47.6514144, -122.3555957)"
"(47.5614664, -122.3870841)"

"(47.6019002, -122.3137703)"
"(47.6133227, -122.3086811)"


"(47.62056855, -122.35049095)"
"(47.7083148, -122.328176856378)"
"(47.6779185, -122.355635239838)"
"(47.6685294, -122.3793357)"
"(47.6174134, -122.3349055)"
"(47.6321308, -122.3599365)"
"(47.61287415, -122.33527622923)"
"(47.6973909, -122.3736435)"
"(47.66083775, -122.33768375)"
"(47.6200267, -122.3227112)"
"(47.5900022, -122.3362466)"
"(47.6149287, -122.3282665)"
"(47.5993435, -122.3339158)"
"(47.6550814, -122.3596788)"
"(47.6166738, -122.335888)"
"(47.6614953, -122.3199004)"
"(47.5975149, -122.3339613)"
"(47.561455, -122.387177)"
"(47.572735, -122.370430)"
"(47.6113827, -122.3164132)"



"(47.582939, -122.333694)"
"(47.714474, -122.304138)"
"(47.631859, -122.321548)"
"(47.649357, -122.360626)"
"(47.560467, -122.287979)"
"(47.560037, -122.385507)"
"(47.721672, -122.338554)"
"(47.651680, -122.402069)"
"(47.669090, -122.385796)"
"(47.649878, -122.342711)"
"(47.621780, -122.359718)"
"(47.550287, -122.277273)"
"(47.599216, -122.296595)"
"(47.560077, -122.286461)"
"(47.596665, -122.325649)"
"(47.6513564, -122.3515985)"
"(47.61760085, -122.334562447382)"


"(47.688610, -122.355293)"
"(47.607586, -122.325935)"
"(47.616871, -122.331184)"
"(47.661858, -122.312790)"



"(47.620840, -122.352825)"
"(47.623616, -122.356725)"
"(47.6151383, -122.342923)"
"(47.519753, -122.261269)"
"(47.665052, -122.371220)"
"(47.682785, -122.355621)"
"(47.624592, -122.356451)"
"(47.635185, -122.357361)"
"(47.692089, -122.355721)"
"(47.559883, -122.290634)"
"(47.539423, -122.291018)"
"(47.601849, -122.308388)"
"(47.6871653, -122.3554887)"
"(47.6178573, -122.3348113)"
"(47.6178924, -122.3357243)"
"(47.6253347, -122.323067208535)"
"(47.5998538, -122.3331316)"
"(47.617963, -122.336148)"
"(47.5999167, -122.3267574)"
"(47.5589774, -122.2854237)"
"(47.5999356, -122.3353103)"
"(47.6167931, -122.3361846)"
"(47.6513564, -122.3515985)"
"(47.6094497, -122.3418366)"
"(47.613737, -122.2895678)"
"(47.5749176, -122.337625202775)"
"(47.5819689, -122.3869421)"
"(47.6869229, -122.3878221)"
"(47.5756053, -122.3206151)"
